epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5302,1.30593,3.83523,1.25921,0.00381,0.88889,0.11549,0.11393,0.86725,3.83622,1.12126,6e-05,6e-05,6e-05
2,79.3599,1.19793,3.41545,1.25591,0.00429,1,0.22955,0.22717,0.88265,3.81535,1.07819,0.000138268,0.000138268,0.000138268
3,113.19,1.1984,2.84525,1.12028,0.00429,1,0.23075,0.22765,1.00512,3.72505,1.11584,0.000214555,0.000214555,0.000214555
4,128.221,1.08717,2.15149,1.09333,0.00429,1,0.23343,0.22938,0.99449,3.55797,1.1251,0.000288863,0.000288863,0.000288863
5,138.906,1.01382,1.73365,0.99771,0.3109,0.44444,0.44888,0.3761,1.00413,3.4282,1.10674,0.00036119,0.00036119,0.00036119
6,149.278,1.03254,1.8873,1.05429,0.00429,1,0.46523,0.38826,0.98547,3.43865,1.06919,0.000431538,0.000431538,0.000431538
7,159.217,1.17209,1.84649,1.1002,0.00429,1,0.30825,0.21332,1.09707,3.5084,1.21177,0.000499905,0.000499905,0.000499905
8,169.18,1.15761,1.79708,1.07828,0.00381,0.88889,0.23098,0.21162,0.9913,3.51661,1.19216,0.000566292,0.000566292,0.000566292
9,179.208,1.04281,1.84083,1.00531,0.89658,0.22222,0.23433,0.19018,1.05187,3.43211,1.19635,0.0006307,0.0006307,0.0006307
10,189.149,1.04491,1.82891,1.06386,0.86418,0.22222,0.28795,0.21754,1.11431,3.33743,1.27168,0.000693127,0.000693127,0.000693127
11,198.857,0.88479,1.56567,0.96054,0.87607,0.22222,0.39792,0.26288,1.06573,3.29561,1.22802,0.000753575,0.000753575,0.000753575
12,208.599,1.01023,1.71873,1.06173,1,0.27318,0.47607,0.30279,1.10628,3.26382,1.21283,0.000812043,0.000812043,0.000812043
13,218.441,1.06241,1.61916,1.03403,0.87431,0.22222,0.43749,0.28385,1.16105,3.46521,1.17862,0.00086853,0.00086853,0.00086853
14,228.041,0.97996,1.64897,1.04,0.90377,0.22222,0.41166,0.30663,1.14186,3.40841,1.09538,0.000923037,0.000923037,0.000923037
15,237.731,0.96441,1.58359,0.9836,0.97515,0.22222,0.41148,0.28316,1.20997,3.2555,1.16585,0.000975565,0.000975565,0.000975565
16,247.613,1.07041,1.63114,1.06817,0.97515,0.22222,0.41148,0.28316,1.20997,3.2555,1.16585,0.00102611,0.00102611,0.00102611
17,257.375,1.04676,1.50124,1.08264,0.67751,0.22222,0.51602,0.35237,1.25754,2.96954,1.23528,0.00107468,0.00107468,0.00107468
18,267.039,1.14428,1.41475,1.07981,1,0.48145,0.76293,0.4691,1.23944,3.06534,1.24783,0.00112127,0.00112127,0.00112127
19,276.811,1.03215,1.83414,1.09568,1,0.48145,0.76293,0.4691,1.23944,3.06534,1.24783,0.00116588,0.00116588,0.00116588
